AssetClass,AssetCount,TotalCompressedSize
/Script/LyraGame.LyraLobbyBackground,1,438
/Script/AFLCosmeticCore.AFLAbilityCosmeticAsset,1,430
/Script/Engine.CurveTable,1,425
/Script/Engine.SubsurfaceProfile,1,422
/Script/Paper2D.PaperTerrainMaterial,1,416
/Script/Engine.TextureRenderTarget2D,1,355
/Script/Engine.VariableFrameStrippingSettings,1,354
/Script/AudioMixer.SubmixEffectReverbPreset,1,338
/Script/AudioMixer.SubmixEffectSubmixEQPreset,1,330
/Script/MetaHumanFaceAnimationSolver.MetaHumanFaceAnimationSolver,1,330
/Script/AudioModulation.SoundModulationParameterHPFFrequency,1,316
/Script/AudioModulation.SoundModulationParameterLPFFrequency,1,316
/Script/AFLGameCore.AFLBotAimTiers,1,314
/Script/AFLCombat.AFLPulseTuningData,1,314
/Script/AudioModulation.SoundModulationParameterFrequency,1,308
/Script/AudioModulation.SoundModulationParameterVolume,1,296
